Comment,Designator,Footprint,LCSC
MX-NoLED,MX2,MXOnly-1U-Hotswap,
MX-NoLED,MX3,MXOnly-1U-Hotswap,
MX-NoLED,MX1,MXOnly-1U-Hotswap,
1uF,C1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
10uF,C6,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0.1uF,C11,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
10k,R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
10k,R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
5.1k,R5,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
5.1k,R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
PRTR5V0U2X,U2,SOT143B,
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-HandSoldering,
ATmega32U2-AU,U1,TQFP-32_7x7mm_P0.8mm,
Polyfuse_Small,F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
SW_Push,SW1,SKQGADE010,
0.1uF,C5,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
WS2812B,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
0.1uF,C10,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,
14pF,C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
14pF,C2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
0.1uF,C4,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
22,R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
22,R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
